district,state,centroid_lat,centroid_lon,min_lat,max_lat,min_lon,max_lon
AKOLA,MAHARASHTRA,20.746309431727113,77.12122293575092,20.279289245605526,21.247999191284293,76.66233062744158,77.61750030517572
AMRAVATI,MAHARASHTRA,21.165208854710055,77.67583448915084,20.540821075439453,21.771440505981502,76.624526977539,78.4466629028322
AURANGABAD,MAHARASHTRA,20.097924204112783,75.32072144078457,19.37893104553217,20.672189712524414,74.59639739990246,75.89478302001947
BHANDARA,MAHARASHTRA,21.211791671988376,80.10950286505238,20.63966941833496,21.602529525757063,79.44330596923834,80.67378997802763
BID,MAHARASHTRA,18.952353230372182,75.6931968951516,18.508680343628043,19.440629959106502,74.81675720214844,76.73587036132824
BULDANA,MAHARASHTRA,20.566804868502224,76.39017894333155,19.838830947875977,21.291250228882063,75.92064666748053,76.82798767089855
CHANDRAPUR,MAHARASHTRA,20.095608008028332,79.31556451200245,19.458700180053768,20.73046112060547,78.7959823608399,79.98929595947266
DHULE,MAHARASHTRA,21.27401734489742,74.58719186849538,20.633460998535384,21.634029388427848,73.85721588134783,75.2074584960938
GARHCHIROLI,MAHARASHTRA,19.795545875804628,80.309656561529,18.67558097839367,20.830270767211914,79.73739624023443,80.89215850830084
GONDIYA,MAHARASHTRA,21.22500755853747,80.17522789607548,20.651760101318303,21.634939193725643,79.79151153564453,80.555892944336
GREATER BOMBAY,MAHARASHTRA,19.085069599058357,72.84261869567841,18.890695571899414,19.31541252136236,72.77597045898443,73.124320983887
HINGOLI,MAHARASHTRA,19.595251037255117,77.09239489303363,19.065879821777457,20.018510818481445,76.67526245117182,77.49048614501953
JALGAON,MAHARASHTRA,20.882894292289876,75.55140485881297,20.270950317382756,21.417100906372184,74.76558685302763,76.39713287353544
JALNA,MAHARASHTRA,19.984614170361407,75.98473530293849,19.27783966064453,20.647260665893555,75.59062194824219,76.53259277343744
KOLHAPUR,MAHARASHTRA,16.44881319621258,74.12897221398742,15.739311218261719,17.17878913879406,73.698959350586,74.7059631347658
LATUR,MAHARASHTRA,18.348686269176625,76.75812309625469,17.868320465088004,18.835350036621094,76.20024871826178,77.29802703857422
NAGPUR,MAHARASHTRA,21.196555663891584,79.02166339863594,20.580280303955078,21.72392845153803,78.24674224853516,79.65473175048822
NANDED,MAHARASHTRA,19.209316625223583,77.68290558013776,18.259960174560547,19.93103981018072,76.93202972412126,78.3677368164063
NANDURBAR,MAHARASHTRA,21.523174495628925,74.32638784532001,20.993139266968,22.030998229980526,73.58751678466814,74.77609252929716
NASHIK,MAHARASHTRA,20.266911240379457,74.03824105593249,19.586360931396484,20.866210937500114,73.25942230224626,74.94117736816412
OSMANABAD,MAHARASHTRA,18.19459406800854,75.99495549381538,17.64187049865734,18.697000503540096,75.28808593750017,76.78816986084013
PARBHANI,MAHARASHTRA,19.31032367085307,76.70163243949624,18.74869918823248,19.86745071411127,76.20915222167986,77.11823272705084
PUNE,MAHARASHTRA,18.51695990893311,74.12922902632745,17.891420364379883,19.394990921020508,73.33284759521484,75.16710662841825
RAIGARH,MAHARASHTRA,18.45325751080588,73.00906037578419,17.84931945800787,19.134580612182617,72.81180572509766,73.67626953125006
